subject,object,predicate
Frenchs Forest,lon:151.233,HAS_COORDINATES
Freshwater,suburb,IS_A
Freshwater,Australia,IS_LOCATED_IN
Freshwater,8866,HAS_POPULATION
Freshwater,2096,HAS_POSTCODE
Freshwater,lat:-33.7749,HAS_COORDINATES
Freshwater,lon:151.288,HAS_COORDINATES
Fullerton Cove,suburb,IS_A
Fullerton Cove,Australia,IS_LOCATED_IN
Fullerton Cove,566,HAS_POPULATION
Fullerton Cove,2318,HAS_POSTCODE
Fullerton Cove,lat:-32.8433,HAS_COORDINATES
Fullerton Cove,lon:151.826,HAS_COORDINATES
Galston,suburb,IS_A
Galston,Australia,IS_LOCATED_IN
Galston,3139,HAS_POPULATION
Galston,2159,HAS_POSTCODE
Galston,lat:-33.65,HAS_COORDINATES
Galston,lon:151.043,HAS_COORDINATES
Garden Suburb,suburb,IS_A
Garden Suburb,Australia,IS_LOCATED_IN
Garden Suburb,1910,HAS_POPULATION
Garden Suburb,2289,HAS_POSTCODE
Garden Suburb,lat:-32.949,HAS_COORDINATES
Garden Suburb,lon:151.651,HAS_COORDINATES
Georges Hall,suburb,IS_A
Georges Hall,Australia,IS_LOCATED_IN
Georges Hall,9038,HAS_POPULATION
Georges Hall,2198,HAS_POSTCODE
Georges Hall,lat:-33.9122,HAS_COORDINATES
Georges Hall,lon:150.986,HAS_COORDINATES
Georgetown,suburb,IS_A
Georgetown,Australia,IS_LOCATED_IN
Georgetown,1960,HAS_POPULATION
Georgetown,2298,HAS_POSTCODE
Georgetown,lat:-32.898,HAS_COORDINATES
Georgetown,lon:151.735,HAS_COORDINATES
Heathcote,suburb,IS_A
Heathcote,Australia,IS_LOCATED_IN
Heathcote,6013,HAS_POPULATION
Heathcote,2233,HAS_POSTCODE
Heathcote,lat:-34.085061111111,HAS_COORDINATES
Heathcote,lon:151.00808055556,HAS_COORDINATES
Gilead,suburb,IS_A
Gilead,Australia,IS_LOCATED_IN
Gilead,417,HAS_POPULATION
Gilead,2560,HAS_POSTCODE
Gilead,lat:-34.1177,HAS_COORDINATES
Gilead,lon:150.78,HAS_COORDINATES
Gledswood Hills,suburb,IS_A
Gledswood Hills,Australia,IS_LOCATED_IN
Gledswood Hills,22,HAS_POPULATION
Gledswood Hills,2557,HAS_POSTCODE
Gledswood Hills,lat:-34.0117,HAS_COORDINATES
Gledswood Hills,lon:150.78,HAS_COORDINATES
Glen Alpine,suburb,IS_A
Glen Alpine,Australia,IS_LOCATED_IN
Glen Alpine,4559,HAS_POPULATION
Glen Alpine,2560,HAS_POSTCODE
Glen Alpine,lat:-34.09,HAS_COORDINATES
Glen Alpine,lon:150.785,HAS_COORDINATES
Glen Alpine,lat:-34.086,HAS_COORDINATES
Glen Alpine,lon:150.78512,HAS_COORDINATES
Myuna Bay,suburb,IS_A
Myuna Bay,Australia,IS_LOCATED_IN
Myuna Bay,11,HAS_POPULATION
Myuna Bay,2264,HAS_POSTCODE
Myuna Bay,lat:-33.062,HAS_COORDINATES
Myuna Bay,lon:151.546,HAS_COORDINATES
Nabiac,suburb,IS_A
Nabiac,Australia,IS_LOCATED_IN
Nabiac,1252,HAS_POPULATION
Nabiac,2312,HAS_POSTCODE
Nabiac,lat:-32.1,HAS_COORDINATES
Nabiac,lon:152.383,HAS_COORDINATES
Narara,suburb,IS_A
Narara,Australia,IS_LOCATED_IN
Narara,7934,HAS_POPULATION
Narara,2250,HAS_POSTCODE
Narara,lat:-33.398,HAS_COORDINATES
Narara,lon:151.351,HAS_COORDINATES
Narellan,suburb,IS_A
Narellan,Australia,IS_LOCATED_IN
Narellan,3616,HAS_POPULATION
Narellan,2567,HAS_POSTCODE
Narellan,lat:-34.0451,HAS_COORDINATES
Narellan,lon:150.737,HAS_COORDINATES
Narellan Vale,suburb,IS_A
Narellan Vale,Australia,IS_LOCATED_IN
Narellan Vale,7193,HAS_POPULATION
Narellan Vale,2567,HAS_POSTCODE
Narellan Vale,lat:-34.0504,HAS_COORDINATES
Narellan Vale,lon:150.748,HAS_COORDINATES
Naremburn,suburb,IS_A
Naremburn,Australia,IS_LOCATED_IN
Naremburn,5884,HAS_POPULATION
Naremburn,2065,HAS_POSTCODE
Naremburn,lat:-33.8192,HAS_COORDINATES
Naremburn,lon:151.2,HAS_COORDINATES
Nelsons Plains,suburb,IS_A
Nelsons Plains,Australia,IS_LOCATED_IN
Nelsons Plains,362,HAS_POPULATION
Nelsons Plains,2324,HAS_POSTCODE
Nelsons Plains,lat:-32.715,HAS_COORDINATES
Nelsons Plains,lon:151.718,HAS_COORDINATES
Neutral Bay,suburb,IS_A
Neutral Bay,Australia,IS_LOCATED_IN
Neutral Bay,10488,HAS_POPULATION
Neutral Bay,2089,HAS_POSTCODE
Neutral Bay,lat:-33.8345,HAS_COORDINATES
Neutral Bay,lon:151.218,HAS_COORDINATES
New Lambton,suburb,IS_A
New Lambton,Australia,IS_LOCATED_IN
New Lambton,10048,HAS_POPULATION
New Lambton,2305,HAS_POSTCODE
New Lambton,lat:-32.9278,HAS_COORDINATES
New Lambton,lon:151.711,HAS_COORDINATES
New Lambton Heights,suburb,IS_A
New Lambton Heights,Australia,IS_LOCATED_IN
New Lambton Heights,2454,HAS_POPULATION
New Lambton Heights,2305,HAS_POSTCODE
New Lambton Heights,lat:-32.915,HAS_COORDINATES
New Lambton Heights,lon:151.701,HAS_COORDINATES
Newcastle East,locality,IS_A
Newcastle East,suburb,IS_A
Newcastle East,Australia,IS_LOCATED_IN
Newcastle East,1004,HAS_POPULATION
Newcastle East,2300,HAS_POSTCODE
Newcastle East,lat:-32.9292,HAS_COORDINATES
Newcastle East,lon:151.788,HAS_COORDINATES
Newcastle West,suburb,IS_A
Newcastle West,Australia,IS_LOCATED_IN
Newcastle West,618,HAS_POPULATION
Newcastle West,2302,HAS_POSTCODE
Newcastle West,lat:-32.9287,HAS_COORDINATES
Newcastle West,lon:151.761,HAS_COORDINATES
Niagara Park,suburb,IS_A
Niagara Park,Australia,IS_LOCATED_IN
Niagara Park,2743,HAS_POPULATION
Niagara Park,2250,HAS_POSTCODE
Niagara Park,lat:-33.382,HAS_COORDINATES
Niagara Park,lon:151.351,HAS_COORDINATES
Niangala,suburb,IS_A
Niangala,Australia,IS_LOCATED_IN
Niangala,121,HAS_POPULATION
Niangala,2354,HAS_POSTCODE
Niangala,lat:-31.2983,HAS_COORDINATES
Niangala,lon:151.409,HAS_COORDINATES
Norah Head,suburb,IS_A
Norah Head,point,IS_A
Norah Head,Australia,IS_LOCATED_IN
Norah Head,1129,HAS_POPULATION
Norah Head,2263,HAS_POSTCODE
Norah Head,lat:-33.28333,HAS_COORDINATES
Norah Head,lon:151.58333,HAS_COORDINATES
Norah Head,lat:-33.2833,HAS_COORDINATES
Norah Head,lon:151.567,HAS_COORDINATES
Noraville,suburb,IS_A
Noraville,Australia,IS_LOCATED_IN
Noraville,2918,HAS_POPULATION
Noraville,2263,HAS_POSTCODE
Noraville,lat:-33.265,HAS_COORDINATES
Noraville,lon:151.568,HAS_COORDINATES
Nords Wharf,suburb,IS_A
Nords Wharf,Australia,IS_LOCATED_IN
Nords Wharf,886,HAS_POPULATION
Nords Wharf,2281,HAS_POSTCODE
Nords Wharf,lat:-33.132,HAS_COORDINATES
Nords Wharf,lon:151.601,HAS_COORDINATES
North Arm Cove,suburb,IS_A
North Arm Cove,Australia,IS_LOCATED_IN
North Arm Cove,445,HAS_POPULATION
North Arm Cove,2324,HAS_POSTCODE
North Arm Cove,lat:-32.6253,HAS_COORDINATES
North Arm Cove,lon:152.044,HAS_COORDINATES
North Avoca,suburb,IS_A
North Avoca,Australia,IS_LOCATED_IN
North Avoca,2200,HAS_POPULATION
North Avoca,2260,HAS_POSTCODE
North Avoca,lat:-33.457,HAS_COORDINATES
North Avoca,lon:151.435,HAS_COORDINATES
North Balgowlah,suburb,IS_A
North Balgowlah,Australia,IS_LOCATED_IN
North Balgowlah,3667,HAS_POPULATION
North Balgowlah,2093,HAS_POSTCODE
North Balgowlah,lat:-33.791,HAS_COORDINATES
North Balgowlah,lon:151.244,HAS_COORDINATES
North Epping,suburb,IS_A
North Epping,Australia,IS_LOCATED_IN
North Epping,4526,HAS_POPULATION
North Epping,2121,HAS_POSTCODE
North Epping,lat:-33.7623,HAS_COORDINATES
North Epping,lon:151.101,HAS_COORDINATES
North Epping,lat:-33.75944,HAS_COORDINATES
North Epping,lon:151.09248,HAS_COORDINATES
North Gosford,suburb,IS_A
North Gosford,Australia,IS_LOCATED_IN
North Gosford,3700,HAS_POPULATION
North Gosford,2250,HAS_POSTCODE
North Gosford,lat:-33.415,HAS_COORDINATES
North Gosford,lon:151.351,HAS_COORDINATES
North Lambton,suburb,IS_A
North Lambton,Australia,IS_LOCATED_IN
North Lambton,3306,HAS_POPULATION
North Lambton,2299,HAS_POSTCODE
North Lambton,lat:-32.904,HAS_COORDINATES
North Lambton,lon:151.704,HAS_COORDINATES
North Narrabeen,suburb,IS_A
North Narrabeen,Australia,IS_LOCATED_IN
North Narrabeen,5852,HAS_POPULATION
North Narrabeen,2101,HAS_POSTCODE
North Narrabeen,lat:-33.7065,HAS_COORDINATES
North Narrabeen,lon:151.288,HAS_COORDINATES
North Parramatta,suburb,IS_A
North Parramatta,Australia,IS_LOCATED_IN
North Parramatta,13248,HAS_POPULATION
North Parramatta,2151,HAS_POSTCODE
North Parramatta,lat:-33.8032,HAS_COORDINATES
North Parramatta,lon:151.005,HAS_COORDINATES
North Richmond,suburb,IS_A
North Richmond,Australia,IS_LOCATED_IN
North Richmond,4977,HAS_POPULATION
North Richmond,2754,HAS_POSTCODE
North Richmond,lat:-33.5893,HAS_COORDINATES
North Richmond,lon:150.711,HAS_COORDINATES
North Rocks,suburb,IS_A
North Rocks,Australia,IS_LOCATED_IN
North Rocks,7965,HAS_POPULATION
North Rocks,4563,HAS_POSTCODE
North Rocks,lat:-33.7761,HAS_COORDINATES
North Rocks,lon:151.02,HAS_COORDINATES
North St Marys,suburb,IS_A
North St Marys,Australia,IS_LOCATED_IN
North St Marys,3921,HAS_POPULATION
North St Marys,2760,HAS_POSTCODE
North St Marys,lat:-33.749,HAS_COORDINATES
North St Marys,lon:150.782,HAS_COORDINATES
North Tamworth,suburb,IS_A
North Tamworth,Australia,IS_LOCATED_IN
North Tamworth,5141,HAS_POPULATION
North Tamworth,2340,HAS_POSTCODE
North Tamworth,lat:-31.0781,HAS_COORDINATES
North Tamworth,lon:150.926,HAS_COORDINATES
North Turramurra,suburb,IS_A
North Turramurra,Australia,IS_LOCATED_IN
North Turramurra,4257,HAS_POPULATION
North Turramurra,2074,HAS_POSTCODE
North Turramurra,lat:-33.7262,HAS_COORDINATES
North Turramurra,lon:151.147,HAS_COORDINATES
North Wagga Wagga,suburb,IS_A
North Wagga Wagga,Australia,IS_LOCATED_IN
North Wagga Wagga,720,HAS_POPULATION
North Wagga Wagga,2650,HAS_POSTCODE
North Wagga Wagga,lat:-35.0957,HAS_COORDINATES
North Wagga Wagga,lon:147.378,HAS_COORDINATES
North Wahroonga,locality,IS_A
North Wahroonga,suburb,IS_A
North Wahroonga,Australia,IS_LOCATED_IN
North Wahroonga,1998,HAS_POPULATION
North Wahroonga,2076,HAS_POSTCODE
North Wahroonga,lat:-33.701,HAS_COORDINATES
North Wahroonga,lon:151.126,HAS_COORDINATES
North Willoughby,suburb,IS_A
North Willoughby,Australia,IS_LOCATED_IN
North Willoughby,4172,HAS_POPULATION
North Willoughby,2068,HAS_POSTCODE
North Willoughby,lat:-33.795,HAS_COORDINATES
North Willoughby,lon:151.204,HAS_COORDINATES
Northbridge,suburb,IS_A
Northbridge,Australia,IS_LOCATED_IN
Northbridge,6347,HAS_POPULATION
Northbridge,2063,HAS_POSTCODE
Northbridge,lat:-33.8133,HAS_COORDINATES
Northbridge,lon:151.217,HAS_COORDINATES
Northmead,suburb,IS_A
Northmead,Australia,IS_LOCATED_IN
Northmead,11215,HAS_POPULATION
Northmead,2152,HAS_POSTCODE
Northmead,lat:-33.7817,HAS_COORDINATES
Northmead,lon:151.002,HAS_COORDINATES
Northwood,suburb,IS_A
Northwood,Australia,IS_LOCATED_IN
Northwood,982,HAS_POPULATION
Northwood,2066,HAS_POSTCODE
Northwood,lat:-33.8281,HAS_COORDINATES
Northwood,lon:151.176,HAS_COORDINATES
Oak Flats,suburb,IS_A
Oak Flats,Australia,IS_LOCATED_IN
Oak Flats,6415,HAS_POPULATION
Oak Flats,2529,HAS_POSTCODE
Oak Flats,lat:-34.56194444,HAS_COORDINATES
Oak Flats,lon:150.81888889,HAS_COORDINATES
Oakhurst,suburb,IS_A
Oakhurst,Australia,IS_LOCATED_IN
Oakhurst,6955,HAS_POPULATION
Oakhurst,2761,HAS_POSTCODE
Oakhurst,lat:-33.732,HAS_COORDINATES
Oakhurst,lon:150.835,HAS_COORDINATES
Oakville,suburb,IS_A
Oakville,Australia,IS_LOCATED_IN
Oakville,1964,HAS_POPULATION
Oakville,2765,HAS_POSTCODE
Oakville,lat:-33.6222,HAS_COORDINATES
Oakville,lon:150.867,HAS_COORDINATES
Oatlands,suburb,IS_A
Oatlands,Australia,IS_LOCATED_IN
Oatlands,5660,HAS_POPULATION
Oatlands,2117,HAS_POSTCODE
Oatlands,lat:-33.794,HAS_COORDINATES
Oatlands,lon:151.032,HAS_COORDINATES
Oatley,suburb,IS_A
Oatley,Australia,IS_LOCATED_IN
Oatley,10486,HAS_POPULATION
Oatley,2223,HAS_POSTCODE
Oatley,lat:-33.9812,HAS_COORDINATES
Oatley,lon:151.075,HAS_COORDINATES
Old Guildford,suburb,IS_A
Old Guildford,Australia,IS_LOCATED_IN
Old Guildford,2663,HAS_POPULATION
Old Guildford,2161,HAS_POSTCODE
Old Guildford,lat:-33.865769444444,HAS_COORDINATES
Old Guildford,lon:150.98346111111,HAS_COORDINATES
Old Toongabbie,suburb,IS_A
Old Toongabbie,Australia,IS_LOCATED_IN
Old Toongabbie,3133,HAS_POPULATION
Old Toongabbie,2146,HAS_POSTCODE
Old Toongabbie,lat:-33.787,HAS_COORDINATES
Old Toongabbie,lon:150.966,HAS_COORDINATES
Oran Park,suburb,IS_A
Oran Park,Australia,IS_LOCATED_IN
Oran Park,4765,HAS_POPULATION
Oran Park,2570,HAS_POSTCODE
Oran Park,lat:-34.003,HAS_COORDINATES
Oran Park,lon:150.743,HAS_COORDINATES
Osterley,suburb,IS_A
Osterley,Australia,IS_LOCATED_IN
Osterley,117,HAS_POPULATION
Osterley,2324,HAS_POSTCODE
Osterley,lat:-32.7233,HAS_COORDINATES
Osterley,lon:151.701,HAS_COORDINATES
Otford,suburb,IS_A
Otford,Australia,IS_LOCATED_IN
