subject,object,predicate
National Iranian Oil Company,Tehran Stock Exchange,TRADES_ON
Saras S.p.A.,business,IS_A
Saras S.p.A.,enterprise,IS_A
Saras S.p.A.,petroleum industry,IN_INDUSTRY
Saras S.p.A.,società per azioni,IS_A
Saudi Aramco Beach,human settlement,IS_A
Saudi Aramco Beach,petroleum industry,IN_INDUSTRY
Compañía Española de Petróleos,business,IS_A
Compañía Española de Petróleos,petroleum industry,IN_INDUSTRY
Compañía Española de Petróleos,Mubadala Development Company,OWNED_BY
GS Caltex,business,IS_A
GS Caltex,enterprise,IS_A
GS Caltex,petroleum industry,IN_INDUSTRY
GS Caltex,joint-stock company,IS_A
Standard Oil of Ohio,business,IS_A
Standard Oil of Ohio,petroleum industry,IN_INDUSTRY
Oil Refineries Ltd,business,IS_A
Oil Refineries Ltd,enterprise,IS_A
Oil Refineries Ltd,petroleum industry,IN_INDUSTRY
Oil Refineries Ltd,public company,IS_A
Oil Refineries Ltd,Israel Corporation,OWNED_BY
Anonima Petroli Italiana,business,IS_A
Anonima Petroli Italiana,enterprise,IS_A
Anonima Petroli Italiana,petroleum industry,IN_INDUSTRY
Anonima Petroli Italiana,joint-stock company,IS_A
Petroplus,business,IS_A
Petroplus,petroleum industry,IN_INDUSTRY
Petroplus,Limited,IS_A
Ineos,private company limited by shares,IS_A
Ineos,business,IS_A
Ineos,petroleum industry,IN_INDUSTRY
Ineos,Limited,IS_A
RosUkrEnergo,business,IS_A
RosUkrEnergo,petroleum industry,IN_INDUSTRY
RosUkrEnergo,Limited,IS_A
Sonangol Group,business,IS_A
Sonangol Group,petroleum industry,IN_INDUSTRY
Saudi Aramco,business,IS_A
Saudi Aramco,petroleum industry,IN_INDUSTRY
Saudi Aramco,government-owned corporation,IS_A
Surgutneftegas,business,IS_A
Surgutneftegas,enterprise,IS_A
Surgutneftegas,extraction of petroleum,IN_INDUSTRY
Surgutneftegas,petroleum industry,IN_INDUSTRY
Surgutneftegas,joint-stock company,IS_A
Surgutneftegas,public company,IS_A
Surgutneftegas,Moscow Exchange,TRADES_ON
Surgutneftegas,London Stock Exchange,TRADES_ON
Gazprom Armenia,company,IS_A
Gazprom Armenia,petroleum industry,IN_INDUSTRY
Gazprom Armenia,company,IS_A
Nord Stream AG,business,IS_A
Nord Stream AG,petroleum industry,IN_INDUSTRY
Nord Stream AG,Limited,IS_A
Nord Stream AG,Gazprom,OWNED_BY
Nord Stream AG,Wintershall,OWNED_BY
Nord Stream AG,E.ON Ruhrgas,OWNED_BY
Nord Stream AG,Gasunie,OWNED_BY
Nord Stream AG,Engie,OWNED_BY
Husky Energy,business,IS_A
Husky Energy,petroleum industry,IN_INDUSTRY
Husky Energy,corporation,IS_A
Husky Energy,Toronto Stock Exchange,TRADES_ON
Husky Energy,CK Hutchison Holdings,OWNED_BY
Wentworth Resources,business,IS_A
Wentworth Resources,petroleum industry,IN_INDUSTRY
PDVSA,business,IS_A
PDVSA,petroleum industry,IN_INDUSTRY
PDVSA,Government of Venezuela,OWNED_BY
Pars Oil Company,business,IS_A
Pars Oil Company,petroleum industry,IN_INDUSTRY
